City,Year,Fuel Type,Transmission,Price_PKR,Mileage_km,Engine_cc,Brand,Model,Variant,Car_Age,log_price
Karachi,2011,Petrol,Manual,2650000.0,75000,1300.0,Toyota,Corolla,XLi VVTi,15,14.790070575320824
Karachi,2017,Petrol,Manual,3700000.0,90000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,9,15.123843647884687
Lahore,2022,Petrol,Automatic,4650000.0,16500,1300.0,Toyota,Yaris,Sedan ATIV CVT 1.3,4,15.35237799261728
Karachi,2025,Petrol,Automatic,4975000.0,36,1300.0,Toyota,Yaris,Sedan GLI CVT 1.3,1,15.419936129579835
Islamabad,2013,Petrol,Manual,3030000.0,130000,1300.0,Toyota,Corolla,GLi Limited Edition 1.3 VVTi,13,14.9240735075185
Karachi,2019,Petrol,Automatic,3850000.0,62000,1300.0,Honda,City,1.3 i-VTEC Prosmatec,7,15.163583966004193
Karachi,1989,Petrol,Manual,675000.0,200000,1300.0,Honda,Civic,,37,13.42246945133505
Karachi,2012,Petrol,Manual,2400000.0,180000,1300.0,Toyota,Corolla,GLi 1.3 VVTi,14,14.690979711984754
Lahore,2018,Petrol,Automatic,3720000.0000000005,138000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC Prosmatec,8,15.129234495066498
Karachi,1997,Petrol,Manual,450000.0,20000,1300.0,Honda,City,EXi,29,13.017005083966255
Lahore,2004,Petrol,Manual,1100000.0,189000,1300.0,Suzuki,Baleno,JXR,22,13.910821646859095
Lahore,2005,Petrol,Manual,1550000.0,282000,1300.0,Toyota,Corolla,9th (E120) Generation GLi 1.3,21,14.253766134056512
Karachi,2023,Petrol,Automatic,4200000.0,10700,1300.0,Suzuki,Swift,,3,15.250595321348806
Karachi,2006,Petrol,Automatic,1800000.0,150000,1300.0,Honda,City,,20,14.403297778421795
Karachi,2024,Petrol,Automatic,4875000.0,27000,1300.0,Toyota,Yaris,Sedan ATIV CVT 1.3,2,15.39963086754227
Lahore,2016,Petrol,Manual,2800000.0,100000,1300.0,Toyota,Corolla,XLi VVTi,10,14.845130332288226
Karachi,2015,Petrol,Manual,2600000.0,134000,1300.0,Honda,City,1.3 i-VTEC,11,14.77102238760702
Islamabad,2006,Petrol,Manual,2250000.0,142000,1300.0,Honda,City,i-DSI,20,14.626441218624949
Lahore,2005,Petrol,Manual,1290000.0,176000,1300.0,Mitsubishi,Lancer,GLX 1.3,21,14.070153551531353
Karachi,1995,Petrol,Automatic,1800000.0,1,1300.0,Toyota,Corolla,LX Limited 1.3,31,14.403297778421795
